Comunidades y Ciudades Autónomas;Grupo de edad;Periodo;Total
Balears, Illes;De 50 a 54 años;2023;79,29
Balears, Illes;De 50 a 54 años;2022;78,01
Balears, Illes;De 50 a 54 años;2021;77,22
Balears, Illes;De 55 a 64 años;2023;64,35
Balears, Illes;De 55 a 64 años;2022;64,23
Balears, Illes;De 55 a 64 años;2021;64,39
Canarias;De 20 a 24 años;2023;35,28
Canarias;De 20 a 24 años;2022;28,48
Canarias;De 20 a 24 años;2021;21,59
Canarias;De 25 a 29 años;2023;69,88
Canarias;De 25 a 29 años;2022;67,66
Canarias;De 25 a 29 años;2021;56,66
Canarias;De 30 a 34 años;2023;76,21
Canarias;De 30 a 34 años;2022;69,62
Canarias;De 30 a 34 años;2021;62,92
Canarias;De 35 a 39 años;2023;77,2
Canarias;De 35 a 39 años;2022;74,73
Canarias;De 35 a 39 años;2021;67,66
Canarias;De 40 a 44 años;2023;73,19
Canarias;De 40 a 44 años;2022;75,73
Canarias;De 40 a 44 años;2021;72,97
Canarias;De 45 a 49 años;2023;74,77
Canarias;De 45 a 49 años;2022;73,95
Canarias;De 45 a 49 años;2021;68,34
Canarias;De 50 a 54 años;2023;68,33
Canarias;De 50 a 54 años;2022;66,03
Canarias;De 50 a 54 años;2021;59
Canarias;De 55 a 64 años;2023;51,89
Canarias;De 55 a 64 años;2022;51,76
Canarias;De 55 a 64 años;2021;47,35
Cantabria;De 20 a 24 años;2023;37,78
Cantabria;De 20 a 24 años;2022;33,95
Cantabria;De 20 a 24 años;2021;30,92
Cantabria;De 25 a 29 años;2023;68,31
Cantabria;De 25 a 29 años;2022;69,36
Cantabria;De 25 a 29 años;2021;69,88
Cantabria;De 30 a 34 años;2023;81,17
Cantabria;De 30 a 34 años;2022;75,58
Cantabria;De 30 a 34 años;2021;74,35
Cantabria;De 35 a 39 años;2023;87,41
Cantabria;De 35 a 39 años;2022;82,74
Cantabria;De 35 a 39 años;2021;81,97
Cantabria;De 40 a 44 años;2023;81,64
Cantabria;De 40 a 44 años;2022;80,77
Cantabria;De 40 a 44 años;2021;81,91
Cantabria;De 45 a 49 años;2023;81,63
Cantabria;De 45 a 49 años;2022;81,31
Cantabria;De 45 a 49 años;2021;77,29
Cantabria;De 50 a 54 años;2023;79,99
Cantabria;De 50 a 54 años;2022;77,57
Cantabria;De 50 a 54 años;2021;76,05
Cantabria;De 55 a 64 años;2023;58,87
Cantabria;De 55 a 64 años;2022;58,35
Cantabria;De 55 a 64 años;2021;56,12
Castilla y León;De 20 a 24 años;2023;40,45
Castilla y León;De 20 a 24 años;2022;37,83
Castilla y León;De 20 a 24 años;2021;34,61
Castilla y León;De 25 a 29 años;2023;72,55
Castilla y León;De 25 a 29 años;2022;68,18
Castilla y León;De 25 a 29 años;2021;61,55
Castilla y León;De 30 a 34 años;2023;74,97
Castilla y León;De 30 a 34 años;2022;76,96
Castilla y León;De 30 a 34 años;2021;74,54
